short_name,value_eur,player_positions,age,height_cm,weight_kg,overall,pace,shooting,passing,dribbling,defending,physic
F. Tingager,1200000.0,CB,29,198,94,69,55.0,33.0,52.0,53.0,67.0,82.0
Joni Montiel,2800000.0,CAM,23,173,67,69,70.0,66.0,69.0,73.0,50.0,55.0
L. Sosa,1400000.0,CAM,28,175,71,69,65.0,68.0,67.0,73.0,42.0,66.0
K. Rosenberry,1200000.0,CB,28,173,73,69,68.0,51.0,62.0,66.0,68.0,74.0
J. Moya,1200000.0,CB,29,184,80,69,43.0,33.0,44.0,46.0,71.0,68.0
M. Honsak,1800000.0,LM,25,188,78,69,80.0,63.0,61.0,69.0,50.0,71.0
Y. Niakaté,1400000.0,ST,29,177,81,69,87.0,70.0,58.0,67.0,26.0,67.0
C. Brittain,2000000.0,RWB,24,181,68,69,80.0,51.0,60.0,68.0,64.0,64.0
Judson,1200000.0,CDM,29,170,71,69,70.0,42.0,58.0,63.0,66.0,71.0
G. Perrin,1600000.0,LM,26,169,63,69,82.0,65.0,62.0,71.0,35.0,60.0
L. Vignali,1600000.0,RWB,26,186,75,69,73.0,59.0,62.0,64.0,64.0,67.0
N. Falasco,1300000.0,LB,28,182,79,69,71.0,59.0,65.0,68.0,66.0,73.0
Carlos Ponck,1400000.0,CB,27,183,84,69,68.0,45.0,51.0,60.0,68.0,78.0
Ko Seung Beom,1400000.0,CM,28,173,70,69,73.0,62.0,66.0,71.0,62.0,75.0
S. Colombatto,2000000.0,CM,25,179,71,69,64.0,59.0,69.0,68.0,61.0,71.0
L. Gómez,1400000.0,RB,26,163,66,69,79.0,60.0,63.0,71.0,63.0,65.0
M. Muheim,2000000.0,LB,24,182,77,69,72.0,57.0,66.0,66.0,65.0,67.0
G. Shibasaki,1200000.0,CDM,30,174,68,69,69.0,61.0,68.0,71.0,66.0,66.0
P. Sabbag,2100000.0,ST,25,188,84,69,61.0,72.0,50.0,64.0,32.0,68.0
J. Pereyra,3100000.0,LM,23,181,71,69,65.0,57.0,69.0,67.0,60.0,67.0
R. van Drongelen,2600000.0,CB,23,187,85,69,55.0,26.0,56.0,53.0,68.0,73.0
C. Itten,1900000.0,ST,25,190,84,69,67.0,70.0,60.0,65.0,36.0,74.0
S. Muroya,1300000.0,RB,28,176,70,69,88.0,57.0,58.0,68.0,60.0,70.0
K. Jóźwiak,2100000.0,RM,24,176,70,69,90.0,55.0,60.0,72.0,42.0,63.0
R. Canouse,1400000.0,CDM,27,178,76,69,65.0,53.0,56.0,65.0,68.0,78.0
S. Diarra,2000000.0,RM,23,173,58,69,85.0,56.0,63.0,71.0,42.0,50.0
Pomares,1200000.0,LB,29,182,74,69,76.0,53.0,59.0,59.0,64.0,79.0
J. Sørensen,1800000.0,CDM,24,184,77,69,65.0,55.0,64.0,67.0,68.0,70.0
J. Okita,1800000.0,RW,25,181,75,69,84.0,64.0,59.0,71.0,22.0,68.0
R. Bormuth,1400000.0,CB,26,190,87,69,69.0,25.0,40.0,49.0,70.0,73.0
M. Fall,1300000.0,RW,30,184,72,69,87.0,64.0,61.0,69.0,37.0,73.0
S. Al Najai,1800000.0,CAM,25,176,68,69,73.0,65.0,64.0,70.0,57.0,63.0
L. Sernicola,1900000.0,RB,25,187,81,69,58.0,40.0,60.0,63.0,67.0,67.0
Wilson Sosán,1500000.0,RM,26,180,71,69,73.0,48.0,70.0,69.0,30.0,55.0
Lluís López,1900000.0,CB,25,182,79,69,65.0,36.0,56.0,61.0,70.0,71.0
R. Piris Da Motta,1400000.0,CDM,27,180,79,69,63.0,39.0,59.0,62.0,68.0,77.0
A. El Mahdioui,1500000.0,CDM,26,182,71,69,65.0,52.0,69.0,69.0,62.0,67.0
R. McCrorie,2600000.0,CB,24,187,80,69,77.0,53.0,61.0,65.0,66.0,82.0
G. Kostadinov,975000.0,CDM,31,185,75,69,64.0,55.0,59.0,59.0,68.0,71.0
L. Väisänen,2600000.0,CB,24,186,80,69,72.0,30.0,56.0,59.0,69.0,70.0
M. Sørensen,2900000.0,CB,23,193,92,69,53.0,34.0,53.0,58.0,69.0,73.0
J. Lefort,1300000.0,LB,28,184,81,69,66.0,26.0,59.0,62.0,66.0,73.0
J. Leiva,1400000.0,CM,28,180,82,69,72.0,61.0,69.0,70.0,49.0,70.0
Dinis Almeida,1500000.0,CB,27,186,75,69,60.0,38.0,45.0,49.0,70.0,70.0
P. Sandler,1900000.0,CB,25,190,82,69,63.0,39.0,64.0,68.0,70.0,67.0
J. Attamah,1300000.0,CDM,28,180,80,69,65.0,46.0,57.0,61.0,69.0,76.0
M. El Hankouri,1800000.0,RW,25,176,70,69,80.0,64.0,64.0,75.0,51.0,60.0
B. Piñatares,925000.0,CDM,32,182,86,69,56.0,54.0,60.0,63.0,66.0,72.0
K. Andrić,1600000.0,ST,27,189,86,69,64.0,68.0,53.0,66.0,29.0,70.0
T. Duman,1900000.0,CAM,24,180,78,69,54.0,67.0,67.0,73.0,53.0,63.0
C. Rodríguez,900000.0,CB,32,183,88,69,57.0,38.0,46.0,50.0,69.0,77.0
Juninho Vieira,1800000.0,LW,25,179,74,69,86.0,69.0,60.0,68.0,27.0,57.0
N. Dovedan,1500000.0,CF,27,172,72,69,80.0,66.0,61.0,74.0,34.0,59.0
Domingos Quina,3100000.0,LM,22,175,66,69,69.0,66.0,66.0,73.0,44.0,48.0
C. Kipré,1700000.0,CB,25,193,90,69,68.0,35.0,49.0,46.0,67.0,82.0
B. Nowak,1400000.0,CF,28,180,75,69,60.0,69.0,70.0,71.0,43.0,68.0
I. Torres,1000000.0,LB,31,177,75,69,76.0,63.0,69.0,66.0,63.0,65.0
Aleix Febas,1800000.0,CM,26,172,64,69,67.0,61.0,71.0,72.0,60.0,66.0
I. Sackey,1300000.0,CB,28,190,88,69,49.0,58.0,57.0,58.0,69.0,82.0
M. Madsen,2100000.0,CM,24,186,82,69,58.0,58.0,67.0,68.0,62.0,74.0
D. Haspolat,3000000.0,CDM,22,177,75,69,65.0,55.0,67.0,68.0,65.0,68.0
H. Pickering,2100000.0,LWB,23,183,78,69,74.0,51.0,64.0,65.0,64.0,70.0
Lucas Mineiro,1800000.0,CM,26,188,80,69,66.0,53.0,67.0,69.0,69.0,76.0
A. Gutiérrez,2700000.0,RB,24,176,73,69,83.0,56.0,56.0,68.0,64.0,59.0
G. Gudiño,1400000.0,RM,29,170,67,69,80.0,66.0,64.0,68.0,57.0,60.0
M. Fofana,1900000.0,CB,24,186,75,69,64.0,31.0,54.0,61.0,69.0,76.0
M. Saadane,1100000.0,CB,30,187,75,69,57.0,49.0,60.0,61.0,66.0,83.0
I. Gómez,1900000.0,CDM,25,167,60,69,60.0,59.0,60.0,70.0,68.0,70.0
N. Briasco,1700000.0,ST,26,182,80,69,77.0,66.0,60.0,71.0,23.0,69.0
C. González Tassano,1700000.0,CB,25,185,80,69,66.0,35.0,55.0,56.0,70.0,72.0
Daniel Mestrança,1400000.0,LB,26,185,74,69,62.0,47.0,59.0,64.0,69.0,68.0
D. Wayar,1300000.0,RB,28,173,65,69,63.0,35.0,62.0,59.0,68.0,58.0
Josema,1800000.0,CB,26,184,81,69,57.0,37.0,53.0,52.0,69.0,72.0
D. Graovac,1300000.0,CB,28,185,73,69,52.0,40.0,57.0,50.0,67.0,77.0
R. Marchizza,2700000.0,LB,24,186,80,69,60.0,30.0,57.0,64.0,69.0,66.0
A. Totovytskyi,1400000.0,CAM,29,189,80,69,68.0,68.0,68.0,69.0,47.0,65.0
Marc Cardona,1700000.0,ST,26,183,70,69,74.0,68.0,60.0,69.0,27.0,61.0
A. Cardozo,2000000.0,CM,25,175,70,69,69.0,53.0,66.0,69.0,67.0,71.0
K. Arase,2800000.0,RW,23,172,62,69,91.0,60.0,59.0,72.0,31.0,47.0
D. Hadžikadunić,2900000.0,CB,23,190,81,69,65.0,30.0,47.0,53.0,69.0,73.0
Pablo Vázquez,1500000.0,CB,27,185,82,69,59.0,32.0,49.0,45.0,70.0,70.0
Á. Martino,2200000.0,LM,24,178,73,69,75.0,57.0,65.0,73.0,62.0,63.0
D. Lavalée,1900000.0,CB,25,188,85,69,65.0,29.0,61.0,64.0,67.0,69.0
Kenny Rocha Santos,3100000.0,CM,22,174,68,69,71.0,59.0,69.0,73.0,60.0,68.0
D. Genreau,3100000.0,CM,23,175,75,69,67.0,59.0,67.0,66.0,64.0,68.0
Deng Hanwen,1500000.0,RB,27,180,73,69,80.0,50.0,62.0,66.0,63.0,67.0
L. Itter,2100000.0,LB,23,183,76,69,71.0,42.0,62.0,68.0,68.0,62.0
L. Lamprou,2100000.0,LM,24,180,76,69,84.0,67.0,59.0,71.0,31.0,66.0
C. Ndiaye,1700000.0,ST,26,190,83,69,80.0,66.0,54.0,67.0,37.0,79.0
A. Leautey,1600000.0,RW,26,172,66,69,90.0,63.0,63.0,70.0,31.0,52.0
Yuri Ribeiro,1700000.0,LB,25,180,77,69,76.0,51.0,67.0,69.0,65.0,65.0
L. Abubakar,1500000.0,CB,27,183,82,69,56.0,32.0,50.0,50.0,66.0,79.0
E. Segura,1900000.0,CB,25,178,70,69,61.0,30.0,49.0,57.0,68.0,74.0
A. Connolly,2300000.0,ST,22,175,73,69,75.0,69.0,50.0,71.0,20.0,64.0
K. Sarfo,1600000.0,CAM,27,166,66,69,75.0,58.0,63.0,79.0,43.0,53.0
Y. Gómez,2000000.0,LB,24,174,63,69,87.0,52.0,60.0,67.0,62.0,60.0
B. Lasme,3100000.0,ST,23,188,85,69,86.0,68.0,52.0,66.0,24.0,71.0
S. Bueno,2900000.0,CB,23,190,76,69,50.0,31.0,46.0,50.0,69.0,75.0
T. Kehinde,2100000.0,RM,24,178,75,69,86.0,58.0,62.0,72.0,40.0,65.0
N. Barrios,2000000.0,LW,24,156,58,69,83.0,61.0,64.0,75.0,37.0,43.0
D. Camacho,1800000.0,RM,25,185,75,69,67.0,58.0,67.0,66.0,47.0,59.0
P. Pomykal,3100000.0,CM,22,173,73,69,74.0,57.0,70.0,72.0,61.0,69.0
M. Roerslev,2100000.0,RWB,23,184,67,69,69.0,45.0,65.0,66.0,62.0,68.0
F. Beijmo,2100000.0,RB,24,186,82,69,83.0,39.0,55.0,62.0,63.0,74.0
F. Coman,2000000.0,LW,24,182,72,69,81.0,67.0,68.0,68.0,37.0,65.0
N. Nartey,2800000.0,CM,22,185,81,69,74.0,49.0,67.0,73.0,65.0,70.0
B. Wilmot,2900000.0,CB,22,188,80,69,55.0,37.0,53.0,60.0,71.0,70.0
S. Raggett,1300000.0,CB,28,196,89,69,44.0,36.0,44.0,46.0,67.0,84.0
R. Brewster,3200000.0,ST,22,180,75,69,79.0,71.0,55.0,71.0,20.0,61.0
Fernando Fonseca,1700000.0,RB,25,182,75,69,73.0,41.0,60.0,67.0,64.0,72.0
J. Nikolaou,1200000.0,CDM,28,187,84,69,64.0,43.0,62.0,58.0,68.0,77.0
T. Puchacz,2700000.0,LWB,23,180,81,69,79.0,64.0,60.0,68.0,62.0,77.0
K. Tshiembe,1700000.0,CB,25,185,80,69,74.0,40.0,54.0,59.0,66.0,77.0
S. Kowalczyk,2800000.0,CAM,23,170,60,69,81.0,63.0,63.0,72.0,43.0,52.0
J. Verlaat,1700000.0,CB,26,192,87,69,53.0,26.0,47.0,55.0,68.0,77.0
M. Fernández,675000.0,CB,33,180,77,69,53.0,27.0,44.0,46.0,69.0,76.0
P. Pellegri,2900000.0,ST,21,188,80,69,65.0,67.0,55.0,68.0,21.0,62.0
E. Botheim,3200000.0,ST,22,187,70,69,71.0,67.0,51.0,66.0,27.0,72.0
M. Seegert,1400000.0,CB,28,186,76,69,66.0,39.0,54.0,59.0,68.0,75.0
B. Moussiti-Oko,1600000.0,ST,27,184,88,69,59.0,69.0,48.0,63.0,27.0,78.0
Y. Njie,1400000.0,ST,28,188,72,69,76.0,68.0,57.0,70.0,40.0,69.0
R. D'Haese,2800000.0,LM,23,180,64,69,78.0,57.0,62.0,71.0,53.0,50.0
S. Dembélé,1900000.0,ST,25,173,67,69,89.0,67.0,62.0,74.0,32.0,55.0
B. Manu,1700000.0,RM,25,170,70,69,91.0,61.0,57.0,73.0,35.0,67.0
I. Maela,1200000.0,LB,29,170,68,69,69.0,39.0,47.0,66.0,70.0,60.0
A. Grbic,1900000.0,ST,25,188,82,69,70.0,71.0,53.0,65.0,31.0,70.0
P. Płacheta,2200000.0,LM,24,177,72,69,92.0,60.0,60.0,70.0,39.0,55.0
D. McNamara,2100000.0,RWB,23,174,72,69,78.0,41.0,59.0,67.0,64.0,66.0
P. Kun,1500000.0,LM,27,165,54,69,91.0,48.0,64.0,71.0,59.0,56.0
A. Kovačević,1200000.0,CB,28,189,80,69,51.0,42.0,44.0,44.0,71.0,70.0
Glauder,1700000.0,LB,26,183,76,69,70.0,35.0,56.0,63.0,67.0,78.0
Alfa Semedo,1800000.0,CDM,24,190,82,69,67.0,57.0,59.0,69.0,69.0,77.0
S. Córdova,2100000.0,ST,24,188,87,69,75.0,68.0,54.0,68.0,24.0,63.0
Joca,1600000.0,RM,26,168,63,69,68.0,62.0,65.0,74.0,54.0,47.0
I. Petryak,1400000.0,LM,28,171,63,69,78.0,54.0,66.0,68.0,37.0,53.0
G. Asís,1400000.0,RB,26,174,65,69,77.0,44.0,61.0,69.0,66.0,71.0
N. Baden Frederiksen,2900000.0,ST,22,179,68,69,74.0,71.0,61.0,71.0,23.0,64.0
C. Holse,2100000.0,RW,23,177,68,69,80.0,63.0,66.0,71.0,53.0,67.0
I. Ljubić,1700000.0,CM,25,184,75,69,59.0,64.0,65.0,68.0,66.0,74.0
C. Mandouki,1200000.0,CDM,30,179,76,69,51.0,54.0,64.0,66.0,67.0,75.0
W. Riveros,1200000.0,CB,29,186,84,69,63.0,39.0,50.0,53.0,69.0,72.0
J. Brimmer,1900000.0,CAM,24,169,68,69,69.0,60.0,71.0,68.0,63.0,66.0
H. Duljević,1400000.0,LM,28,185,82,69,78.0,62.0,63.0,75.0,42.0,70.0
P. Ruiz,2600000.0,CDM,23,172,68,69,66.0,58.0,63.0,66.0,67.0,62.0
S. Niakaté,2900000.0,CB,22,186,76,69,69.0,31.0,48.0,62.0,68.0,79.0
Miguel,3200000.0,ST,22,182,83,69,71.0,68.0,52.0,67.0,31.0,71.0
D. Šarić,2000000.0,CM,25,180,70,69,67.0,61.0,69.0,68.0,48.0,68.0
M. Léris,2200000.0,CM,24,186,78,69,50.0,64.0,65.0,67.0,61.0,71.0
C. Lang,2200000.0,RM,23,180,70,69,82.0,65.0,60.0,69.0,38.0,69.0
L. Amarilla,1700000.0,ST,26,182,77,69,74.0,69.0,58.0,62.0,35.0,65.0
Y. Moukoko,3500000.0,ST,17,175,73,69,84.0,68.0,54.0,77.0,32.0,60.0
B. Berríos,2800000.0,CM,24,168,67,69,69.0,51.0,65.0,70.0,68.0,71.0
N. Estévez,1700000.0,CM,26,181,77,69,65.0,65.0,71.0,70.0,62.0,66.0
C. Bayala,1600000.0,RM,26,181,68,69,79.0,62.0,63.0,69.0,41.0,68.0
J. Collins,1300000.0,LB,27,183,73,69,78.0,36.0,58.0,70.0,66.0,68.0
J. Mbom,2200000.0,CM,22,183,80,69,71.0,60.0,66.0,69.0,65.0,74.0
R. Frosler,2100000.0,RB,24,173,69,69,72.0,40.0,61.0,68.0,65.0,56.0
Y. Sarı,1900000.0,RW,23,168,55,69,80.0,65.0,64.0,75.0,32.0,40.0
Mario Hernández,3000000.0,RB,23,178,69,69,67.0,31.0,52.0,51.0,70.0,64.0
Y. Bisseck,2900000.0,CB,21,196,87,69,64.0,36.0,50.0,58.0,69.0,78.0
R. Atkinson,2000000.0,CB,23,193,85,69,54.0,25.0,48.0,56.0,70.0,79.0
D. Hashioka,2000000.0,RWB,23,184,81,69,73.0,59.0,64.0,64.0,63.0,75.0
H. Finndell,3100000.0,CM,22,177,74,69,69.0,62.0,65.0,69.0,72.0,69.0
J. Sargent,2100000.0,RM,22,185,79,69,73.0,70.0,61.0,68.0,48.0,82.0
F. Druijf,2100000.0,ST,24,190,83,69,58.0,72.0,61.0,63.0,33.0,74.0
J. Sands,2900000.0,CB,21,186,73,69,49.0,50.0,61.0,64.0,70.0,72.0
M. Hoedemakers,2000000.0,CDM,24,181,75,69,60.0,57.0,69.0,66.0,64.0,73.0
C. Klarer,2600000.0,CB,22,191,82,69,56.0,36.0,48.0,49.0,70.0,70.0
E. Cetré,2200000.0,RM,24,167,75,69,84.0,71.0,62.0,71.0,34.0,60.0
Pejiño,1700000.0,RM,25,177,67,69,92.0,68.0,63.0,69.0,36.0,50.0
S. Ambrosius,2000000.0,CB,23,182,80,69,70.0,30.0,45.0,52.0,68.0,75.0
A. Herrera,1900000.0,RB,25,180,70,69,70.0,33.0,63.0,66.0,67.0,74.0
I. Nedelcearu,1600000.0,CB,26,190,85,69,61.0,46.0,52.0,57.0,69.0,78.0
João Moutinho,1900000.0,LB,24,182,71,69,68.0,37.0,63.0,66.0,67.0,68.0
I. Ogbu,2600000.0,CB,22,187,78,69,79.0,39.0,53.0,57.0,68.0,78.0
S. Vines,2100000.0,LB,23,177,72,69,77.0,33.0,57.0,63.0,66.0,69.0
T. Mokoena,2000000.0,CM,25,178,71,69,76.0,61.0,69.0,70.0,61.0,67.0
M. Viviani,3000000.0,CDM,21,183,74,69,74.0,56.0,70.0,67.0,64.0,62.0
S. Strand,1200000.0,LB,29,175,70,69,85.0,31.0,56.0,63.0,63.0,66.0
Heriberto Tavares,1800000.0,RM,25,181,66,69,79.0,70.0,61.0,73.0,30.0,63.0
I. Poveda,3100000.0,RW,22,167,64,69,79.0,54.0,60.0,76.0,33.0,52.0
F. Karačić,1700000.0,RB,26,185,75,69,81.0,46.0,62.0,66.0,62.0,74.0
T. Badaloni,3200000.0,ST,22,186,82,69,60.0,69.0,51.0,62.0,28.0,69.0
R. Ljubicic,3000000.0,CDM,22,178,74,69,69.0,57.0,65.0,69.0,64.0,72.0
F. Caligara,3100000.0,CM,22,180,74,69,64.0,59.0,65.0,69.0,67.0,70.0
A. Carrasquilla,2200000.0,CM,23,170,64,69,74.0,61.0,64.0,75.0,58.0,66.0
Andújar,1100000.0,CB,30,189,79,69,55.0,34.0,48.0,54.0,69.0,79.0
A. Cochrane,3000000.0,LWB,22,175,70,69,71.0,45.0,65.0,67.0,63.0,65.0
Fernando Andrade,1400000.0,LM,29,180,79,69,68.0,71.0,65.0,67.0,26.0,71.0
Borja Garcés,3200000.0,ST,22,183,71,69,60.0,73.0,52.0,69.0,31.0,47.0
S. van der Water,1800000.0,RW,25,184,74,69,81.0,68.0,61.0,70.0,41.0,65.0
Allan Sousa,1800000.0,RW,25,172,64,69,82.0,63.0,64.0,74.0,24.0,65.0
O. Kanté,900000.0,CB,32,182,81,69,35.0,35.0,51.0,55.0,68.0,82.0
Diogo Mendes,2900000.0,CDM,24,182,76,69,67.0,48.0,60.0,66.0,67.0,72.0
A. Bernier,1900000.0,RM,24,170,68,69,81.0,62.0,63.0,73.0,36.0,63.0
J. Vuković,1200000.0,CDM,30,184,76,69,61.0,49.0,64.0,65.0,65.0,74.0
J. Herrera,1400000.0,ST,30,175,75,69,71.0,69.0,60.0,66.0,23.0,66.0
T. Isherwood,1800000.0,CB,24,195,87,69,55.0,33.0,45.0,45.0,68.0,84.0
L. Menalo,1700000.0,LW,25,181,73,69,78.0,64.0,59.0,72.0,40.0,58.0
T. Cognat,2200000.0,CM,24,173,67,69,79.0,60.0,68.0,72.0,61.0,67.0
C. Vidal,2000000.0,CB,22,181,76,69,54.0,35.0,46.0,57.0,70.0,68.0
C. Kobald,1800000.0,CB,24,186,80,69,67.0,26.0,54.0,54.0,70.0,70.0
P. Lima,975000.0,CDM,31,181,76,69,60.0,49.0,66.0,59.0,61.0,72.0
Vitinho,3000000.0,RB,22,175,73,69,83.0,40.0,61.0,73.0,62.0,66.0
S. Coulibaly,1500000.0,CB,27,193,80,69,72.0,40.0,51.0,53.0,68.0,77.0
L. Czyborra,2700000.0,LB,23,178,72,69,88.0,48.0,60.0,70.0,61.0,68.0
G. Guiffrey,2900000.0,CB,24,182,74,69,70.0,36.0,49.0,57.0,70.0,72.0
M. Pellegrini,3100000.0,LM,22,176,71,69,83.0,62.0,61.0,71.0,49.0,56.0
Montero,2000000.0,CB,23,185,76,69,65.0,29.0,52.0,60.0,71.0,67.0
F. Becker,3100000.0,CM,22,177,71,69,71.0,52.0,66.0,75.0,55.0,59.0
F. Domínguez,2200000.0,RM,24,177,69,69,83.0,54.0,62.0,70.0,58.0,66.0
G. Yalçın,2800000.0,ST,23,184,77,69,75.0,72.0,57.0,67.0,23.0,58.0
J. Atanasov,2700000.0,CDM,22,184,77,69,71.0,62.0,71.0,67.0,63.0,71.0
G. Ferrari,1900000.0,CB,25,184,76,69,73.0,40.0,56.0,61.0,67.0,74.0
A. Parmak,1600000.0,CDM,27,176,70,69,75.0,65.0,68.0,70.0,68.0,68.0
S. Gassama,1600000.0,ST,27,188,85,69,57.0,70.0,47.0,61.0,32.0,78.0
J. Shackleton,3100000.0,CM,22,168,65,69,79.0,49.0,66.0,72.0,64.0,68.0
João Carlos,1500000.0,ST,27,187,87,69,59.0,70.0,50.0,66.0,18.0,73.0
Rober,3100000.0,RM,21,169,63,69,79.0,64.0,65.0,71.0,26.0,47.0
L. Binks,2900000.0,CB,20,188,86,69,59.0,29.0,49.0,53.0,67.0,80.0
M. López,2100000.0,LB,22,175,67,69,79.0,54.0,63.0,70.0,64.0,68.0
A. Reyes,2900000.0,CB,22,191,81,69,76.0,33.0,40.0,47.0,68.0,80.0
Á. Preciado,2100000.0,RB,24,173,74,69,84.0,59.0,59.0,69.0,63.0,62.0
Sebastián Méndez,1900000.0,CDM,25,175,72,69,68.0,57.0,64.0,64.0,65.0,68.0
B. Goller,2800000.0,RW,23,180,67,69,80.0,67.0,59.0,73.0,52.0,52.0
U. Meraş,1700000.0,LB,26,178,73,69,74.0,42.0,60.0,65.0,65.0,73.0
J. Madrid,1700000.0,RB,25,179,74,69,74.0,43.0,58.0,66.0,66.0,67.0
S. Rhein,1700000.0,CDM,24,180,74,69,60.0,50.0,69.0,67.0,65.0,68.0
M. El Idrissy,2800000.0,ST,23,181,72,69,75.0,69.0,63.0,69.0,29.0,63.0
F. Navarro,3200000.0,CDM,22,170,69,69,74.0,47.0,62.0,69.0,68.0,58.0
B. Caicedo,1200000.0,LB,30,180,69,69,82.0,48.0,59.0,63.0,64.0,69.0
X. Arreaga,1500000.0,CB,27,183,75,69,57.0,28.0,49.0,56.0,69.0,73.0
M. Daramy,3400000.0,LM,20,180,71,69,87.0,59.0,60.0,73.0,25.0,70.0
D. Sorescu,1900000.0,RM,24,176,72,69,86.0,67.0,64.0,68.0,60.0,72.0
B. Diakité,2900000.0,CB,21,185,74,69,65.0,38.0,55.0,56.0,69.0,72.0
H. Massengo,3200000.0,CDM,20,175,70,69,72.0,48.0,65.0,72.0,66.0,65.0
N. Katterbach,3000000.0,LB,21,180,76,69,71.0,40.0,59.0,74.0,66.0,58.0
J. Novillo,1700000.0,CB,24,190,85,69,64.0,34.0,44.0,49.0,69.0,78.0
G. Velázquez,950000.0,CB,31,179,83,69,74.0,31.0,47.0,54.0,69.0,75.0
F. González Metilli,1700000.0,RM,25,178,70,69,69.0,67.0,66.0,68.0,36.0,61.0
J. Méndez,1500000.0,CM,27,185,84,69,68.0,59.0,65.0,70.0,66.0,75.0
V. Bayo,1900000.0,ST,25,184,82,69,78.0,69.0,49.0,66.0,25.0,76.0
E. Wiemberg,1300000.0,LB,28,178,75,69,76.0,52.0,63.0,70.0,62.0,74.0
K. Pröger,1300000.0,RM,30,177,73,69,86.0,66.0,56.0,72.0,38.0,64.0
D. Pines,2600000.0,CB,24,196,91,69,71.0,22.0,39.0,45.0,70.0,77.0
Abdu Conté,2700000.0,LWB,24,183,78,69,73.0,46.0,53.0,67.0,65.0,76.0
Júnior Brumado,3100000.0,ST,23,190,88,69,75.0,66.0,55.0,70.0,29.0,81.0
I. Camará,2900000.0,CDM,23,190,76,69,59.0,47.0,64.0,63.0,66.0,73.0
F. Amaya,3100000.0,CM,21,163,64,69,72.0,53.0,66.0,70.0,64.0,66.0
T. Raschl,2200000.0,CM,22,177,75,69,62.0,55.0,66.0,71.0,58.0,66.0
C. Petrila,3100000.0,LW,21,176,67,69,89.0,62.0,64.0,71.0,34.0,56.0
L. Johnsen,2700000.0,CDM,22,179,75,69,67.0,53.0,63.0,67.0,66.0,73.0
M. Fall,450000.0,CB,34,192,87,69,61.0,36.0,49.0,45.0,67.0,81.0
R. Piccoli,3200000.0,ST,21,183,78,69,72.0,68.0,50.0,63.0,34.0,65.0
E. Mosquera,3400000.0,LM,21,172,58,69,83.0,56.0,62.0,69.0,17.0,60.0
L. Pétrot,1700000.0,CB,25,188,81,69,64.0,32.0,46.0,54.0,70.0,71.0
J. Greaves,2900000.0,CB,21,194,87,69,70.0,31.0,52.0,57.0,69.0,75.0
U. Bonnet,1400000.0,ST,28,181,73,69,74.0,70.0,53.0,66.0,30.0,73.0
Zé Uilton,1400000.0,LW,29,175,67,69,75.0,63.0,64.0,71.0,31.0,55.0
Anderson Oliveira,2800000.0,ST,24,186,85,69,76.0,69.0,58.0,66.0,27.0,70.0
R. Boissier,1400000.0,CM,28,181,73,69,70.0,66.0,69.0,69.0,65.0,73.0
P. Osterhage,2800000.0,CM,22,184,75,69,74.0,50.0,67.0,71.0,65.0,67.0
T. Petrášek,1100000.0,CB,30,199,99,69,63.0,45.0,38.0,50.0,67.0,79.0
R. Pepi,3300000.0,ST,19,185,74,69,71.0,67.0,54.0,67.0,37.0,63.0
A. Cordea,2800000.0,RW,23,180,75,69,86.0,63.0,65.0,70.0,36.0,67.0
J. Medić,2600000.0,CB,23,193,91,69,64.0,48.0,58.0,59.0,67.0,80.0
Guga Rodrigues,2000000.0,CM,24,168,63,69,67.0,62.0,64.0,72.0,64.0,58.0
Álex Bermejo,3100000.0,LM,23,183,76,69,73.0,68.0,65.0,71.0,53.0,62.0
B. Pichler,2000000.0,ST,24,184,87,69,80.0,68.0,63.0,64.0,33.0,69.0
T. Coulibaly,3100000.0,RM,21,178,75,69,79.0,59.0,62.0,75.0,42.0,61.0
Henrique Gomes,1500000.0,LB,26,185,78,69,66.0,43.0,54.0,61.0,68.0,73.0
Pedro Amaral,1900000.0,LB,24,178,72,69,73.0,46.0,55.0,67.0,68.0,64.0
M. De Cuyper,3000000.0,LB,21,183,72,69,74.0,66.0,67.0,67.0,59.0,66.0
N. Dyhr,2100000.0,LWB,21,177,66,69,81.0,55.0,62.0,67.0,62.0,67.0
J. Cabal,3000000.0,LB,21,186,80,69,75.0,38.0,54.0,61.0,69.0,62.0
F. Lisi,975000.0,LWB,32,179,74,69,84.0,63.0,64.0,73.0,61.0,58.0
C. Summerville,3400000.0,RM,20,174,64,69,88.0,64.0,60.0,73.0,24.0,51.0
H. Bockhorn,1300000.0,RB,27,177,76,69,83.0,60.0,63.0,69.0,63.0,66.0
K. Koindredi,3300000.0,CM,20,184,77,69,63.0,68.0,71.0,72.0,53.0,65.0
L. Picco,3000000.0,CDM,22,188,79,69,54.0,58.0,61.0,63.0,66.0,73.0
A. Ait El Hadj,3100000.0,CAM,20,168,70,69,73.0,58.0,68.0,76.0,44.0,63.0
M. Brizuela,1700000.0,CB,25,181,72,69,56.0,37.0,54.0,54.0,68.0,78.0
R. Ruiz Rodríguez,3200000.0,ST,22,185,75,69,75.0,67.0,65.0,69.0,36.0,66.0
Riquelme,3100000.0,CAM,22,174,66,69,75.0,65.0,65.0,72.0,38.0,49.0
J. Knight,2800000.0,CM,21,179,72,69,68.0,63.0,66.0,70.0,64.0,70.0
F. Maistro,2200000.0,CM,24,180,70,69,70.0,62.0,66.0,71.0,54.0,60.0
